200309,2,3,5,6,9,10,11,13,14,16,18,20,23,24,25
200310,1,4,5,6,7,9,11,12,13,15,16,19,20,23,24
200310,1,4,6,7,8,9,10,11,12,14,16,17,20,23,24
200310,1,2,4,5,8,10,12,13,16,17,18,19,23,24,25
200310,1,2,4,8,9,11,12,13,15,16,19,20,23,24,25
200311,1,2,4,5,6,7,10,12,15,16,17,19,21,23,25
200311,1,4,7,8,10,12,14,15,16,18,19,21,22,23,25
200311,1,5,6,8,9,10,13,15,16,17,18,19,20,22,25
200311,3,4,5,9,10,11,13,15,16,17,19,20,21,24,25
200312,2,3,4,5,6,8,9,10,11,12,14,19,20,23,24
200312,2,6,7,8,9,10,11,12,16,19,20,22,23,24,25
200312,1,2,4,5,7,8,9,10,11,12,14,16,17,24,25
200312,3,5,6,7,8,9,10,11,13,14,15,16,17,19,23
200312,1,2,5,6,7,9,13,14,15,18,19,20,21,23,25
200401,1,2,4,6,8,10,12,15,16,18,19,21,23,24,25
200401,2,5,6,7,8,10,12,13,15,17,19,21,23,24,25
200401,1,2,3,5,6,7,9,13,14,16,17,18,19,20,21
200401,2,6,7,8,10,11,14,15,17,18,19,20,22,23,24
200402,2,5,6,7,8,10,11,13,14,15,16,17,20,23,24
200402,3,4,6,7,8,9,10,14,16,17,18,19,20,23,24
200402,1,2,4,5,8,11,14,16,18,19,20,22,23,24,25
200402,1,2,3,4,5,6,7,9,10,12,13,14,15,22,25
200403,1,3,4,5,6,8,10,11,12,14,16,17,18,19,20
200403,1,2,3,5,7,10,11,14,17,19,20,21,23,24,25
200403,1,2,3,4,5,6,7,9,13,14,16,20,22,23,24
200403,5,7,8,9,10,11,13,14,16,17,19,20,21,22,23
200403,3,6,8,10,11,12,13,14,15,18,20,21,22,24,25
200404,1,3,7,9,10,11,12,13,14,16,17,18,19,20,21
200404,1,4,5,6,8,9,13,14,16,17,19,20,21,22,24
200404,1,2,3,4,6,7,8,11,14,17,19,20,21,22,23
200404,1,2,3,4,9,13,14,15,17,19,20,21,22,24,25
200405,1,2,4,6,7,9,10,11,14,15,16,17,20,22,23
200405,1,2,5,7,8,10,11,12,14,16,19,20,21,23,24
200405,1,2,4,7,8,9,10,11,15,16,18,19,20,21,23
200405,1,4,5,6,11,12,13,14,16,17,19,21,22,23,25
200405,1,4,5,7,8,10,11,14,17,19,20,21,22,23,24
200406,1,3,4,5,8,9,10,11,13,15,20,21,22,23,24
200406,1,2,3,6,7,8,9,10,13,14,15,16,22,24,25
200406,2,7,8,9,11,13,14,15,17,18,19,21,22,23,24
200406,1,2,5,7,8,10,12,13,14,16,17,20,21,22,24
200407,2,3,4,9,12,13,15,16,17,18,19,20,21,23,25
200407,1,3,4,5,6,8,11,12,14,15,17,21,22,24,25
200407,1,3,6,7,8,9,10,14,17,18,19,20,22,23,24
200407,3,4,5,6,10,11,12,13,14,18,19,21,23,24,25
200408,1,2,3,5,7,9,14,16,17,18,19,21,23,24,25
200408,1,2,4,5,6,8,10,11,14,18,19,21,23,24,25
200408,1,2,3,4,5,6,8,10,11,13,15,18,20,22,25
200408,2,5,6,7,11,13,15,16,17,18,19,20,21,22,23
200408,2,4,5,6,8,11,13,15,16,19,20,21,22,23,24
200409,1,2,3,6,7,9,10,11,12,13,19,20,21,23,25
200409,1,3,5,6,7,8,11,13,14,16,17,20,21,22,23
200409,1,2,4,8,9,11,12,13,15,16,21,22,23,24,25
200409,1,2,3,6,7,9,11,12,14,17,18,19,20,23,24
200410,2,4,5,6,7,8,9,12,14,16,18,20,21,22,24
200410,2,3,4,5,6,7,8,9,12,13,15,16,18,19,25
200410,1,2,5,9,12,13,14,15,16,17,19,20,22,23,24
200410,1,2,3,4,6,7,8,11,12,17,19,20,21,22,25
200411,3,4,5,6,11,12,13,14,15,16,17,18,19,20,22
200411,1,3,5,6,7,8,10,11,13,14,15,19,20,23,25
200411,1,2,3,4,5,8,11,16,17,18,19,22,23,24,25
200411,1,4,5,9,11,12,13,14,15,16,19,20,22,23,25
200411,1,3,7,8,9,11,13,14,15,16,17,18,20,24,25
200412,4,8,9,10,11,12,13,16,17,19,20,21,22,24,25
